unit,family,target_type,target_frequency,producer_exit,scorer_exit,admissible,g0,g1,g2,g3,seconds
t2-EXAMPLE-ust-curve-1m,T2-F3,level,daily,0,0,True,pass,pass,pass,pass,4.581
t2-F1-ai-mom-2024,T2-F1,log_return,daily,0,0,True,pass,pass,pass,pass,5.046
t2-F1-aud-on-hold-2016,T2-F1,level,daily,0,0,True,pass,pass,pass,pass,4.768
t2-F1-cad-boc-2017,T2-F1,level,daily,0,0,True,pass,pass,pass,pass,4.864
t2-F1-chf-highly-valued-2021,T2-F1,level,daily,0,0,True,pass,pass,pass,pass,4.824
t2-F1-conflicting-texts-2024,T2-F1,level,daily,0,0,True,pass,pass,pass,pass,4.901
t2-F1-considerable-period-2003,T2-F1,level,daily,0,0,True,pass,pass,pass,pass,4.911
t2-F1-conundrum-2005,T2-F1,level,daily,0,0,True,pass,pass,pass,pass,4.759
t2-F1-cpi-glidepath-2023,T2-F1,level,monthly,0,0,True,pass,pass,pass,pass,4.81
t2-F1-dkk-peg-2019,T2-F1,level,daily,0,0,True,pass,pass,pass,pass,4.825
t2-F1-eur-range-2017,T2-F1,level,daily,0,0,True,pass,pass,pass,pass,5.065
t2-F1-fed-put-2019,T2-F1,log_return,daily,0,0,True,pass,pass,pass,pass,4.713
t2-F1-greater-confidence-2024,T2-F1,level,daily,0,0,True,pass,pass,pass,pass,4.828
t2-F1-hawkish-cut-2024,T2-F1,level,daily,0,0,True,pass,pass,pass,pass,4.699
t2-F1-jpy-ycc-flex-2018,T2-F1,level,daily,0,0,True,pass,pass,pass,pass,4.836
t2-F1-liftoff-telegraph-2015,T2-F1,level,daily,0,0,True,pass,pass,pass,pass,5.009
t2-F1-measured-pace-2004,T2-F1,level,daily,0,0,True,pass,pass,pass,pass,5.241
t2-F1-normalization-2017,T2-F1,level,daily,0,0,True,pass,pass,pass,pass,5.0
t2-F1-patient-dropped-2015,T2-F1,level,daily,0,0,True,pass,pass,pass,pass,5.041
t2-F1-pause-2006,T2-F1,level,daily,0,0,True,pass,pass,pass,pass,4.807
t2-F1-qe3-end-2014,T2-F1,level,daily,0,0,True,pass,pass,pass,pass,4.813
t2-F1-sahm-watch-2024,T2-F1,level,monthly,0,0,True,pass,pass,pass,pass,4.801
t2-F1-third-cut-2019,T2-F1,level,daily,0,0,True,pass,pass,pass,pass,4.724
t2-F1-ust-positioning-2018,T2-F1,level,daily,0,0,True,pass,pass,pass,pass,4.646
t2-F2-abenomics-2012,T2-F2,level,daily,0,0,True,pass,pass,pass,pass,4.793
t2-F2-act-as-appropriate-2019,T2-F2,level,daily,0,0,True,pass,pass,pass,pass,4.766
t2-F2-aud-taper-2013,T2-F2,level,daily,0,0,True,pass,pass,pass,pass,4.976
t2-F2-boj-thin-signal-2014,T2-F2,level,daily,0,0,True,pass,pass,pass,pass,4.748
t2-F2-cnh-stress-2015,T2-F2,level,daily,0,0,True,pass,pass,pass,pass,4.948
t2-F2-cnh-tradewar-2018,T2-F2,level,daily,0,0,True,pass,pass,pass,pass,4.82
t2-F2-considerable-removal-2004,T2-F2,level,daily,0,0,True,pass,pass,pass,pass,4.846
t2-F2-credit-crunch-2007,T2-F2,level,daily,0,0,True,pass,pass,pass,pass,4.838
t2-F2-cut-sizing-2024,T2-F2,level,daily,0,0,True,pass,pass,pass,pass,4.735
t2-F2-draghi-precommit-2014,T2-F2,level,daily,0,0,True,pass,pass,pass,pass,4.784
t2-F2-ecb-qe-telegraph-2014,T2-F2,level,daily,0,0,True,pass,pass,pass,pass,4.918
t2-F2-eur-parity-2022,T2-F2,level,daily,0,0,True,pass,pass,pass,pass,4.971
